"Date","spy.us"
"10/03/2013","167.62"
"10/02/2013","169.18"
"10/01/2013","169.34"
"09/30/2013","168.01"
"09/27/2013","168.91"
"09/26/2013","169.69"
"09/25/2013","169.04"
"09/24/2013","169.53"
"09/23/2013","169.93"
"09/20/2013","170.72"
"09/19/2013","171.92"
"09/18/2013","172.21"
"09/17/2013","170.24"
"09/16/2013","169.48"
"09/13/2013","168.51"
"09/12/2013","168.13"
"09/11/2013","168.58"
"09/10/2013","168.05"
"09/09/2013","166.82"
"09/06/2013","165.23"
"09/05/2013","165.15"
"09/04/2013","164.95"
"09/03/2013","163.59"
"08/30/2013","162.86"
"08/29/2013","163.37"
"08/28/2013","163.11"
"08/27/2013","162.54"
"08/26/2013","165.19"
"08/23/2013","165.81"
"08/22/2013","165.25"
"08/21/2013","163.76"
"08/20/2013","164.78"
"08/19/2013","163.97"
"08/16/2013","165.03"
"08/15/2013","165.57"
"08/14/2013","167.92"
"08/13/2013","168.79"
"08/12/2013","168.29"
"08/09/2013","168.49"
"08/08/2013","168.98"
"08/07/2013","168.36"
"08/06/2013","168.91"
"08/05/2013","169.87"
"08/02/2013","170.12"
"08/01/2013","169.83"
"07/31/2013","167.89"
"07/30/2013","167.77"
"07/29/2013","167.77"
"07/26/2013","168.29"
"07/25/2013","168.11"
"07/24/2013","167.70"
"07/23/2013","168.32"
"07/22/2013","168.68"
"07/19/2013","168.35"
"07/18/2013","168.05"
"07/17/2013","167.14"
"07/16/2013","166.72"
"07/15/2013","167.34"
"07/12/2013","166.70"
"07/11/2013","166.63"
"07/10/2013","164.39"
"07/09/2013","164.33"
"07/08/2013","163.15"
"07/05/2013","162.23"
"07/03/2013","160.50"
"07/02/2013","160.43"
"07/01/2013","160.58"
"06/28/2013","159.64"
"06/27/2013","160.30"
"06/26/2013","159.36"
"06/25/2013","157.81"
"06/24/2013","156.30"
"06/21/2013","158.30"
"06/20/2013","157.79"
"06/19/2013","161.80"
"06/18/2013","164.07"
"06/17/2013","162.78"
"06/14/2013","161.53"
"06/13/2013","162.55"
"06/12/2013","160.12"
"06/11/2013","161.45"
"06/10/2013","163.14"
"06/07/2013","163.13"
"06/06/2013","161.08"
"06/05/2013","159.64"
"06/04/2013","161.91"
"06/03/2013","162.69"
"05/31/2013","161.80"
"05/30/2013","164.16"
"05/29/2013","163.55"
"05/28/2013","164.62"
"05/24/2013","163.64"
"05/23/2013","163.78"
"05/22/2013","164.26"
"05/21/2013","165.48"
"05/20/2013","165.25"
"05/17/2013","165.26"
"05/16/2013","163.67"
"05/15/2013","164.44"
"05/14/2013","163.56"
"05/13/2013","161.89"
"05/10/2013","161.76"
"05/09/2013","161.24"
"05/08/2013","161.69"
"05/07/2013","160.96"
"05/06/2013","160.15"
"05/03/2013","159.74"
